rank,corpus_lemma,count,per_million,source_id
336,а-з·ҳәа-ра́,3967,367.9,SRC-010
337,а́-р·га-ра,3957,367.0,SRC-010
338,а-ҭоуры́х,3950,366.3,SRC-010
339,наҟ,3947,366.0,SRC-010
340,амала́,3944,365.8,SRC-010
341,инаркны́,3916,363.2,SRC-010
342,а-ҭы́·ҵ-ра,3850,357.0,SRC-010
343,а-сы́,3849,357.0,SRC-010
344,а-зы́·ҳәа-ра,3848,356.9,SRC-010
345,а-р:ха-ра́,3848,356.9,SRC-010
346,а-з·а·у-ра́,3813,353.6,SRC-010
347,а-цәы́р·ҵ-ра,3804,352.8,SRC-010
348,а́-ҵх,3791,351.6,SRC-010
349,а-хҭы́с,3788,351.3,SRC-010
350,а́изара,3787,351.2,SRC-010
351,а́-қә·гыла-заа-ра,3784,350.9,SRC-010
352,ара́ҟа,3773,349.9,SRC-010
353,а-з·а́у-ра,3772,349.8,SRC-010
354,а-ҭа·ха-ра́,3763,349.0,SRC-010
355,а-ҧсра́,3743,347.1,SRC-010
356,а-ҭах·ха-ра́,3741,346.9,SRC-010
357,а-хы́·с-ра,3721,345.1,SRC-010
358,а́-г-заа-ра,3718,344.8,SRC-010
359,а-ҿ·ҭ-ра́,3708,343.9,SRC-010
360,а-ҿа́а·ҭ-ра,3692,342.4,SRC-010
361,а-ҳа́уа,3687,341.9,SRC-010
362,а́-бна,3680,341.3,SRC-010
363,а-нхаҩы́,3678,341.1,SRC-010
364,а́-чча-ра,3660,339.4,SRC-010
365,уҳәа́,3659,339.3,SRC-010
366,а-ҩы́мҭа,3656,339.1,SRC-010
367,а-ле́·и-ра,3619,335.6,SRC-010
368,а́ҧсшәа,3618,335.5,SRC-010
369,а-ха́ҳә,3600,333.9,SRC-010
370,а́-ла·ҧш-ра,3592,333.1,SRC-010
371,а́жәеинраала,3588,332.8,SRC-010
372,а́-д·ҵа-ра,3585,332.5,SRC-010
373,а-зы́ҳәан,3564,330.5,SRC-010
374,а́-мҩаҧы·с-ра,3554,329.6,SRC-010
375,аа́,3533,327.7,SRC-010
376,а-ҿа́ҧхьа,3532,327.6,SRC-010
377,а-уа́да,3526,327.0,SRC-010
378,а-ҧа-ра́,3523,326.7,SRC-010
379,Урыстәыла,3520,326.4,SRC-010
380,а-ха́·шҭ-ра,3515,326.0,SRC-010
381,а́-шьҭ-ра,3500,324.6,SRC-010
382,а́ҟа-заа-ра,3500,324.6,SRC-010
383,а-ды́рра,3496,324.2,SRC-010
384,а-з·а́а·га-ра,3477,322.5,SRC-010
385,а-ха́·ла-ра,3474,322.2,SRC-010
386,а-з·к-ра́,3450,320.0,SRC-010
387,а-хатәы́,3441,319.1,SRC-010
388,а́-қә·тәа-заа-ра,3436,318.7,SRC-010
389,а-ҧа́ра,3426,317.7,SRC-010
390,а́-на·ӡа-ра,3422,317.4,SRC-010
391,а-бжьа́ра,3418,317.0,SRC-010
392,а-гәы́ла,3414,316.6,SRC-010
393,а-дәы́қә·ла-ра,3401,315.4,SRC-010
394,а́ҕа,3394,314.8,SRC-010
395,а-ҿа·гы́ла-ра,3393,314.7,SRC-010
396,а-з·аа·га-ра́,3388,314.2,SRC-010
397,а́к,3388,314.2,SRC-010
398,а-ҭ·га-ра́,3387,314.1,SRC-010
399,а-ры́цҳа,3381,313.6,SRC-010
400,а-ӡа-ра́,3377,313.2,SRC-010
401,а́-хәда,3369,312.4,SRC-010
402,а́-л,3367,312.3,SRC-010
