rank,lemma,pos,freq,per_million,n_wordforms
424,Амшын,Noun,1365,210.2,4
425,И.,Noun,1364,210.0,1
426,дналагеит,V,1364,210.0,2
427,ҳаргьы,Pron,1363,209.9,3
428,азҵаарақәа,Noun,1362,209.7,2
429,Баҭыр,Noun,1357,208.9,1
430,Аҧсни,Noun,1354,208.5,1
431,Араҟа,Adv,1351,208.0,2
432,даргьы,Pron,1339,206.2,1
433,Ани,Pron,1336,205.7,4
434,злоу,V,1335,205.6,1
435,акәу,V,1334,205.4,1
436,аҳәынҭқар,Noun,1325,204.0,1
437,абраҟа,Adv,1322,203.5,1
438,ашықәсқәа,Noun,1321,203.4,1
439,хымҧада,Adv,1320,203.2,1
440,имаз,V,1317,202.8,1
441,аҵх,Noun,1316,202.6,2
442,уамак,Adv,1314,202.3,2
443,избан,Cj,1311,201.9,2
444,аҿар,Noun,1304,200.8,1
445,днеин,V,1303,200.6,1
446,иҟалеит,V,1293,199.1,1
447,ауааҧсыра,Noun,1292,198.9,1
448,иҧсҭазаара,Noun,1292,198.9,1
449,иахьатәи,Adj,1292,198.9,1
450,дыҟамызт,V,1287,198.2,1
451,еиуеиҧшым,Adj,1287,198.2,1
452,ан,Noun,1282,197.4,1
453,Адунеи,Noun,1276,196.5,1
454,есымша,Adv,1271,195.7,1
455,убарҭ,Pron,1270,195.5,1
456,ацхыраара,Noun,1265,194.8,2
457,иҳәон,V,1265,194.8,1
458,шьоукы,Pron,1265,194.8,1
459,ажәак,Noun,1263,194.5,1
460,Адгәыр,Noun,1262,194.3,1
461,ахьӡ,Noun,1260,194.0,1
462,сҳәан,V,1258,193.7,2
463,аҩбатәи,Num,1256,193.4,1
464,наҟ-ааҟ,Adv,1254,193.1,1
465,дшыҟаз,V,1252,192.8,1
466,В.,Noun,1250,192.5,1
467,Адгьыл,Noun,1243,191.4,1
468,хьаас,Noun,1241,191.1,1
469,аҳауа,Noun,1241,191.1,2
470,Наҳар,Noun,1239,190.8,1
471,лареи,Pron,1237,190.5,2
472,ҟаҵаны,V,1237,190.5,1
473,еиҭах,Adv,1236,190.3,3
474,ихаҭыҧуаҩ,Noun,1230,189.4,1
475,иҷкәын,Noun,1228,189.1,1
476,Сталин,Noun,1227,188.9,1
477,Ма,Cj,1224,188.5,1
478,ҧыҭк,Pron,1224,188.5,1
479,акәзаргьы,V,1221,188.0,1
480,ҳәагьы,Prt,1220,187.8,1
481,Лакоба,Noun,1219,187.7,1
482,ш.,Noun,1218,187.5,1
483,иакәзар,V,1212,186.6,1
484,ишҟа,PP,1212,186.6,1
485,иамоу,V,1211,186.5,1
486,аӡбахә,Noun,1210,186.3,1
487,ишьапы,Noun,1210,186.3,1
488,иаҳагьы,Adv,1208,186.0,1
489,Асҭанда,Noun,1203,185.2,2
490,рнапы,Noun,1201,184.9,1
491,адәахьы,Adv,1197,184.3,1
492,ахҭысқәа,Noun,1192,183.5,1
493,инапқәа,Noun,1191,183.4,2
494,Аҳәынҭқарратә,Adj,1188,182.9,1
495,егьа,Adv,1188,182.9,1
496,аҩы,Noun,1185,182.5,1
497,арахә,Noun,1182,182.0,1
498,Егьырҭ,Adj,1182,182.0,1
499,Аҧсныҟа,Noun,1181,181.8,1
500,Саида,Noun,1180,181.7,1
501,ҟалеит,V,1180,181.7,1
502,Абра,Adv,1175,180.9,1
503,иарбан,Pron,1175,180.9,1
504,ҽнак,Adv,1170,180.1,2
505,Афедерациа,Noun,1164,179.2,1
506,днеит,V,1163,179.1,2
507,абзиабара,Noun,1163,179.1,1
508,ихы-иҿы,Noun,1160,178.6,1
509,еиқәаҵәа,Adj,1158,178.3,1
510,Шаҟа,Pron,1151,177.2,1
511,О,Interj,1150,177.1,1
512,ақәа,Noun,1146,176.4,1
513,ицоит,V,1145,176.3,1
514,адҵа,Noun,1138,175.2,2
515,рацәа,Adj,1138,175.2,1
516,лаб,Noun,1135,174.8,1
517,ахҭыс,Noun,1135,174.8,1
518,даҽаӡәы,Pron,1135,174.8,1
519,ирласны,Adv,1135,174.8,1
520,иагьа,Adv,1134,174.6,1
521,дуӡӡа,Adj,1133,174.4,1
522,азна,Adj,1132,174.3,1
523,иҳәоит,V,1127,173.5,1
